,Category,Rating,Reviews,Size,Type,Price,Installs
Category,1,-0.035153745,0.000887837,-0.001963706,0.023257786,-0.012919988,0.022777629
Rating,-0.035153745,1,0.068132709,-0.030318908,0.039592197,-0.021919498,0.051336927
Reviews,0.000887837,0.068132709,1,-0.005537123,-0.043244261,-0.009823579,0.641605259
Size,-0.001963706,-0.030318908,-0.005537123,1,0.053560754,0.021986959,-0.029004737
Type,0.023257786,0.039592197,-0.043244261,0.053560754,1,0.223344324,-0.053048686
Price,-0.012919988,-0.021919498,-0.009823579,0.021986959,0.223344324,1,-0.011894619
Installs,0.022777629,0.051336927,0.641605259,-0.029004737,-0.053048686,-0.011894619,1
